"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
1839" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aannemers>" 2 "21240"
"132" "Aannemers" "A" "23
---
24

1866
  ---
1865" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aannemers>" 1 "21240"
"144" "Aannemers" "A" "71
en
daarboven

1818
en
vroeger" "M" "G" "Texel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Texel/III/d_/Aannemers>" 1 "21240"
"156" "Aannemers" "A" "66
---
70

1823
---
1818" "M" "G" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aannemers>" 1 "21240"
"168" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "G" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aannemers>" 1 "21240"
"180" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "G" "Hilversum" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/d_/Aannemers>" 4 "21240"
"192" "Aannemers" "A" "23
---
24

1866
  ---
1865" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aannemers>" 1 "21240"
"204" "Aannemers" "A" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aannemers>" 4 "21240"
"216" "Aannemers" "A" "25
---
35

1864
  ---
1854" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aannemers>" 1 "21240"
"228" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "O" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aannemers>" 1 "21240"
"240" "Aannemers" "A" "51
---
60

1838
  ---
1829" "M" "G" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aannemers>" 1 "21240"
"252" "Aannemers" "A" "66
---
70

1823
---
1818" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aannemers>" 2 "21240"
"264" "Aannemers" "A" "51
---
60

1838
  ---
1829" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aannemers>" 1 "21240"
"276" "Aannemers" "A" "25
---
35

1864
  ---
1854" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aannemers>" 8 "21240"
"288" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "G" "Zaandam" "III" "d. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/d_/Aannemers>" 2 "21240"
"300" "Aannemers" "A" "36
---
50

1853
  ---
1839" "M" "O" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aannemers>" 1 "21240"
"312" "Aannemers" "A" "25
---
35

1864
  ---
