"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
"54675" "Fabricage van aardewerk ( incl. Porcelein, terracotta, kachelbakkes, pottenbakkers enz.)" "D" "18
---
22

1871
  ---
1867" "M" "O" "Weesp" "I" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/I/a_/Fabricage_van_aardewerk___incl__Porcelein__terracotta__kachelbakkes__pottenbakkers_enz__>" 1 "89200"
"54676" "Fabricage van aardewerk ( incl. Porcelein, terracotta, kachelbakkes, pottenbakkers enz.)" "D" "25
---
35

1864
  ---
1854" "M" "O" "Weesp" "I" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/I/a_/Fabricage_van_aardewerk___incl__Porcelein__terracotta__kachelbakkes__pottenbakkers_enz__>" 1 "89200"
"54677" "Fabricage van aardewerk ( incl. Porcelein, terracotta, kachelbakkes, pottenbakkers enz.)" "D" "16
---
17

1873
  ---
1872" "M" "O" "Weesp" "I" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/I/a_/Fabricage_van_aardewerk___incl__Porcelein__terracotta__kachelbakkes__pottenbakkers_enz__>" 2 "89200"
"54678" "Fabricage van aardewerk ( incl. Porcelein, terracotta, kachelbakkes, pottenbakkers enz.)" "D" "36
---
50

1853
  ---
1839" "M" "G" "Weesp" "I" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/I/a_/Fabricage_van_aardewerk___incl__Porcelein__terracotta__kachelbakkes__pottenbakkers_enz__>" 1 "89200"
"54679" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, pottenbakkers enz." "A" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "I" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/I/a_/Fabricage_van_aardewerk__incl__porcelein__terracotta__kachelbakkers__pottenbakkers_enz_>" 1 "21110"
"54680" "Fabricage van aardewerk (incl. porcelein, terracotta, kachelbakkers, pottenbakkers enz." "D" "16
---
17

1873
  ---
1872" "M" "O" "Haarlem." "I" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/I/a_/Fabricage_van_aardewerk__incl__porcelein__terracotta__kachelbakkers__pottenbakkers_enz_>" 1 "89200"
"54681" "Fabricage van aardewerk (incl. porselein, terracotta, kachelbakkers, pottenbakkers enz.)" "C" "36
---
50

1853
  ---
1839" "M" "O" "Amsterdam" "I" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/I/a_/Fabricage_van_aardewerk__incl__porselein__terracotta__kachelbakkers__pottenbakkers_enz__>" 1 "89200"
"54682" "Fabricage van asphalt" "A" "36
---
50

1853
  ---
1839" "M" "O" "Amsterdam" "IX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/IX/b_/Fabricage_van_asphalt>" 1 "21110"
"54683" "Fabricage van asphalt" "D" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "IX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/IX/b_/Fabricage_van_asphalt>" 1 "94390"
"54684" "Fabricage van asphalt" "D" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "IX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/IX/b_/Fabricage_van_asphalt>" 1 "94390"
"54685" "Fabricage van asphalt" "D" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "IX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/IX/b_/Fabricage_van_asphalt>" 3 "94390"
"54686" "Fabricage van asphalt" "D" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "IX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/IX/b_/Fabricage_van_asphalt>" 4 "94390"
"54687" "Fabricage van azijn" "A" "51
---
60

1838
  ---
1829" "M" "G" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 2 "21110"
"54690" "Fabricage van azijn" "A" "51
---
60

1838
  ---
1829" "M" "G" "Edam" "XVI" "n" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/XVI/n/Fabricage_van_azijn>" 1 "21110"
"54693" "Fabricage van azijn" "A" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 1 "21110"
"54696" "Fabricage van azijn" "A" "51
---
60

1838
  ---
1829" "M" "O" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 1 "21110"
"54699" "Fabricage van azijn" "A" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 3 "21110"
"54702" "Fabricage van azijn" "A" "36
---
50

1853
  ---
1839" "M" "G" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 1 "21110"
"54705" "Fabricage van azijn" "C" "25
---
35

1864
  ---
1854" "M" "O" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54707" "Fabricage van azijn" "C" "16
---
17

1873
  ---
1872" "M" "O" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54709" "Fabricage van azijn" "C" "36
---
50

1853
  ---
1839" "M" "G" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 5 "77870"
"54711" "Fabricage van azijn" "C" "18
---
22

1871
  ---
1867" "M" "O" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 4 "77870"
"54713" "Fabricage van azijn" "C" "25
---
35

1864
  ---
1854" "M" "G" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54715" "Fabricage van azijn" "C" "51
---
60

1838
  ---
1829" "M" "G" "X" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/n_/Fabricage_van_azijn>" 4 "77870"
"54717" "Fabricage van azijn" "D" "14
---
15

1875
  ---
1874" "M" "O" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54721" "Fabricage van azijn" "D" "18
---
22

1871
  ---
1867" "M" "O" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54725" "Fabricage van azijn" "D" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54729" "Fabricage van azijn" "D" "25
---
35

1864
  ---
1854" "M" "O" "Hoorn" "XVI" "n" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XVI/n/Fabricage_van_azijn>" 1 "77870"
"54733" "Fabricage van azijn" "D" "25
---
35

1864
  ---
1854" "M" "O" "Alkmaar." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54737" "Fabricage van azijn" "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 2 "77870"
"54741" "Fabricage van azijn" "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54745" "Fabricage van azijn" "D" "25
---
35

1864
  ---
1854" "M" "G" "Sloten" "XVI" "n." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Sloten/XVI/n_/Fabricage_van_azijn>" 1 "77870"
"54749" "Fabricage van band" "D" "36
---
50

1853
  ---
1839" "M" "O" "Hoorn" "XIV" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XIV/c_/Fabricage_van_band>" 1 "75000"
"54750" "Fabricage van basculen" "A" "23
---
24

1866
  ---
1865" "M" "G" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 1 "21110"
"54751" "Fabricage van basculen" "A" "25
---
35

1864
  ---
1854" "M" "G" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 1 "21110"
"54752" "Fabricage van basculen" "A" "36
---
50

1853
  ---
1839" "M" "G" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 3 "21110"
"54753" "Fabricage van basculen" "A" "71
en
daarboven

1818
en
vroeger" "M" "G" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 1 "21110"
"54754" "Fabricage van basculen" "D" "18
---
22

1871
  ---
1867" "M" "O" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 2 "84990"
"54755" "Fabricage van basculen" "D" "25
---
35

1864
  ---
1854" "M" "O" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 1 "84990"
"54756" "Fabricage van basculen" "D" "61
---
65

1828
  ---
1824" "M" "G" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 2 "84990"
"54757" "Fabricage van basculen" "D" "16
---
17

1873
  ---
1872" "M" "O" "X" "XIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIII/a_/Fabricage_van_basculen>" 1 "84990"
"54758" "Fabricage van bedden en matrassen" "A" "51
---
60

1838
  ---
1829" "V" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "21110"
"54760" "Fabricage van bedden en matrassen" "A" "36
---
50

1853
  ---
1839" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "21110"
"54762" "Fabricage van bedden en matrassen" "A" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 3 "21110"
"54764" "Fabricage van bedden en matrassen" "A" "18
---
22

1871
  ---
1867" "M" "O" "III" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "21110"
"54766" "Fabricage van bedden en matrassen" "A" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 5 "21110"
"54768" "Fabricage van bedden en matrassen" "A" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "21110"
"54770" "Fabricage van bedden en matrassen" "A" "25
---
35

1864
  ---
1854" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "21110"
"54772" "Fabricage van bedden en matrassen" "A" "66
---
70

1823
---
1818" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 2 "21110"
"54774" "Fabricage van bedden en matrassen" "A" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 4 "21110"
"54776" "Fabricage van bedden en matrassen" "D" "36
---
50

1853
  ---
1839" "M" "G" "Alkmaar." "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54779" "Fabricage van bedden en matrassen" "D" "14
---
15

1875
  ---
1874" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 2 "81120"
"54782" "Fabricage van bedden en matrassen" "D" "71
en
daarboven

1818
en
vroeger" "V" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54785" "Fabricage van bedden en matrassen" "D" "51
---
60

1838
  ---
1829" "V" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54788" "Fabricage van bedden en matrassen" "D" "36
---
50

1853
  ---
1839" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54791" "Fabricage van bedden en matrassen" "D" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 10 "81120"
"54794" "Fabricage van bedden en matrassen" "D" "25
---
35

1864
  ---
1854" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 4 "81120"
"54797" "Fabricage van bedden en matrassen" "D" "25
---
35

1864
  ---
1854" "M" "G" "Alkmaar." "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54800" "Fabricage van bedden en matrassen" "D" "16
---
17

1873
  ---
1872" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 3 "81120"
"54803" "Fabricage van bedden en matrassen" "D" "13


1876" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54806" "Fabricage van bedden en matrassen" "D" "14
---
15

1875
  ---
1874" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54809" "Fabricage van bedden en matrassen" "D" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 4 "81120"
"54812" "Fabricage van bedden en matrassen" "D" "25
---
35

1864
  ---
1854" "M" "O" "Nieuwer Amstel" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54815" "Fabricage van bedden en matrassen" "D" "14
---
15

1875
  ---
1874" "M" "O" "Alkmaar." "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54818" "Fabricage van bedden en matrassen" "D" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 7 "81120"
"54821" "Fabricage van bedden en matrassen" "D" "23
---
24

1866
  ---
1865" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 2 "81120"
"54824" "Fabricage van bedden en matrassen" "D" "16
---
17

1873
  ---
1872" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54827" "Fabricage van bedden en matrassen" "D" "23
---
24

1866
  ---
1865" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 3 "81120"
"54830" "Fabricage van bedden en matrassen" "D" "18
---
22

1871
  ---
1867" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54833" "Fabricage van bedden en matrassen" "D" "12


1878" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54836" "Fabricage van bedden en matrassen" "D" "51
---
60

1838
  ---
1829" "M" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54839" "Fabricage van bedden en matrassen" "D" "61
---
65

1828
  ---
1824" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54842" "Fabricage van bedden en matrassen" "D" "36
---
50

1853
  ---
1839" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54845" "Fabricage van bedden en matrassen" "D" "13


1876" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 1 "81120"
"54848" "Fabricage van bedden en matrassen" "D" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedden_en_matrassen>" 8 "81120"
"54851" "Fabricage van bedden en matrassen." "A" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 2 "21110"
"54852" "Fabricage van bedden en matrassen." "A" "36
---
50

1853
  ---
1839" "M" "O" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 1 "21110"
"54853" "Fabricage van bedden en matrassen." "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 3 "81120"
"54854" "Fabricage van bedden en matrassen." "D" "23
---
24

1866
  ---
1865" "M" "G" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 1 "81120"
"54855" "Fabricage van bedden en matrassen." "D" "18
---
22

1871
  ---
1867" "M" "O" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 6 "81120"
"54856" "Fabricage van bedden en matrassen." "D" "66
---
70

1823
---
1818" "M" "G" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 1 "81120"
"54857" "Fabricage van bedden en matrassen." "D" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 1 "81120"
"54858" "Fabricage van bedden en matrassen." "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "VI" "a. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/VI/a_/Fabricage_van_bedden_en_matrassen_>" 2 "81120"
"54859" "Fabricage van bedveeren" "A" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedveeren>" 1 "21110"
"54860" "Fabricage van bedveeren" "A" "61
---
65

1828
  ---
1824" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedveeren>" 1 "21110"
"54861" "Fabricage van bedveeren" "D" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedveeren>" 1 "83990"
"54862" "Fabricage van bedveeren" "D" "25
---
35

1864
  ---
1854" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedveeren>" 1 "83990"
"54863" "Fabricage van bedveeren" "D" "16
---
17

1873
  ---
1872" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedveeren>" 1 "83990"
"54864" "Fabricage van bedveeren" "D" "36
---
50

1853
  ---
1839" "V" "O" "Amsterdam" "VI" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/VI/a_/Fabricage_van_bedveeren>" 1 "83990"
"54865" "Fabricage van beetwortelsuiker" "D" "66
---
70

1823
---
1818" "M" "G" "Haarlemmermeer" "XVI" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/XVI/c_/Fabricage_van_beetwortelsuiker>" 1 "77200"
"54866" "Fabricage van beetwortelsuiker" "D" "25
---
35

1864
  ---
1854" "M" "O" "Haarlemmermeer" "XVI" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/XVI/c_/Fabricage_van_beetwortelsuiker>" 1 "77200"
"54867" "Fabricage van beetwortelsuiker" "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlemmermeer" "XVI" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/XVI/c_/Fabricage_van_beetwortelsuiker>" 3 "77200"
"54868" "Fabricage van beetwortelsuiker" "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlemmermeer" "XVI" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/XVI/c_/Fabricage_van_beetwortelsuiker>" 2 "77200"
"54869" "Fabricage van bisquit" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 1 "21110"
"54870" "Fabricage van bisquit" "C" "36
---
50

1853
  ---
1839" "M" "G" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 2 "77610"
"54871" "Fabricage van bisquit" "D" "18
---
22

1871
  ---
1867" "V" "O" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 2 "77610"
"54872" "Fabricage van bisquit" "D" "36
---
50

1853
  ---
1839" "V" "O" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 1 "77610"
"54873" "Fabricage van bisquit" "D" "23
---
24

1866
  ---
1865" "V" "O" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 1 "77610"
"54874" "Fabricage van bisquit" "D" "14
---
15

1875
  ---
1874" "V" "O" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 1 "77610"
"54875" "Fabricage van bisquit" "D" "16
---
17

1873
  ---
1872" "M" "O" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 2 "77610"
"54876" "Fabricage van bisquit" "D" "16
---
17

1873
  ---
1872" "V" "O" "X" "XVI" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XVI/b_/Fabricage_van_bisquit>" 2 "77610"
