"sex","municipality","marital_status","occupation","position","population"
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-75600","http://cedar.example.org/ns#job-D",6
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-41025","http://cedar.example.org/ns#job-A",1
"http://purl.org/linked-data/sdmx/2009/code#sex-V","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-Married","http://cedar.example.org/ns#hisco-41025","http://cedar.example.org/ns#job-A",3
"http://purl.org/linked-data/sdmx/2009/code#sex-V","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-41025","http://cedar.example.org/ns#job-B",1
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-95000","http://cedar.example.org/ns#job-D",4
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-95000","http://cedar.example.org/ns#job-A",2
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-41025","http://cedar.example.org/ns#job-D",1
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-Married","http://cedar.example.org/ns#hisco-80310","http://cedar.example.org/ns#job-A",1
"http://purl.org/linked-data/sdmx/2009/code#sex-V","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-79990","http://cedar.example.org/ns#job-A",11
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-95210","http://cedar.example.org/ns#job-D",9
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-89300","http://cedar.example.org/ns#job-D",1
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-75990","http://cedar.example.org/ns#job-D",1
"http://purl.org/linked-data/sdmx/2009/code#sex-V","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-41025","http://cedar.example.org/ns#job-C",1
"http://purl.org/linked-data/sdmx/2009/code#sex-V","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-79990","http://cedar.example.org/ns#job-A",1
"http://purl.org/linked-data/sdmx/2009/code#sex-V","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-NotMarried","http://cedar.example.org/ns#hisco-75990","http://cedar.example.org/ns#job-D",2
"http://purl.org/linked-data/sdmx/2009/code#sex-M","http://cedar.example.org/ns#ac-10007","http://cedar.example.org/ns#marital-Married","http://cedar.example.org/ns#hisco-63220","http://cedar.example.org/ns#job-A",1
