"","num","txt"
"245","21240","Enkhuizen"
"246","21240","Haarlem"
"247","21240","Haarlemmermeer"
"248","21240","Hilversum"
"249","21240","Nieuwer Amstel"
"250","21240","Purmerend"
"251","21240","Sloten"
"252","21240","Texel"
"253","21240","Velsen"
"254","21240","Weesp"
"255","21240","Zaandam"
"256","21240","A"
"257","21240","B"
"258","21240","16 to 17 years"
"259","21240","23 to 35 years"
"260","21240","36 to 50 years"
"261","21240","51 to 60 years"
"262","21240","61 to 65 years"
"263","21240","66 to 70 years"
"264","21240","More than 71 years"
"265","21240","Male"
"266","21240","Female"
"267","21240","Married"
"268","21240","Unmarried"
"269","21970","Alkmaar"
"270","21970","Amsterdam"
"271","21970","Den Helder"
"272","21970","Edam"
"273","21970","Enkhuizen"
"274","21970","Haarlem"
"275","21970","Hilversum"
"276","21970","Hoorn"
"277","21970","Nieuwer Amstel"
"278","21970","Purmerend"
"279","21970","Sloten"
"280","21970","Velsen"
"281","21970","Weesp"
"282","21970","Zaandam"
"283","21970","A"
"284","21970","B"
"285","21970","C"
"286","21970","D"
"287","21970","14 to 15 years"
"288","21970","16 to 17 years"
"289","21970","18 to 22 years"
"290","21970","23 to 35 years"
"291","21970","36 to 50 years"
"292","21970","51 to 60 years"
"293","21970","61 to 65 years"
"294","21970","66 to 70 years"
"295","21970","More than 71 years"
"296","21970","Male"
"297","21970","Female"
"298","21970","Married"
"299","21970","Unmarried"
"300","22000","Amsterdam"
"301","22000","Enkhuizen"
"302","22000","Haarlem"
"303","22000","Hilversum"
"304","22000","Nieuwer Amstel"
"305","22000","Purmerend"
"306","22000","Sloten"
"307","22000","Velsen"
"308","22000","Zaandam"
"309","22000","B"
"310","22000","C"
"311","22000","16 to 17 years"
"312","22000","18 to 22 years"
"313","22000","23 to 35 years"
"314","22000","36 to 50 years"
"315","22000","51 to 60 years"
"316","22000","61 to 65 years"
"317","22000","66 to 70 years"
"318","22000","More than 71 years"
"319","22000","Male"
"320","22000","Female"
"321","22000","Married"
"322","22000","Unmarried"
"323","22450","Alkmaar"
"324","22450","Amsterdam"
"325","22450","Den Helder"
"326","22450","Enkhuizen"
"327","22450","Haarlem"
"328","22450","Hoorn"
"329","22450","Nieuwer Amstel"
"330","22450","Purmerend"
"331","22450","Zaandam"
"332","22450","C"
"333","22450","14 to 15 years"
"334","22450","16 to 17 years"
"335","22450","18 to 22 years"
"336","22450","23 to 35 years"
"337","22450","36 to 50 years"
"338","22450","51 to 60 years"
"339","22450","61 to 65 years"
"340","22450","Male"
"341","22450","Female"
"342","22450","Married"
"343","22450","Unmarried"
"344","22610","Amsterdam"
"345","22610","C"
"346","22610","36 to 50 years"
"347","22610","51 to 60 years"
"348","22610","61 to 65 years"
"349","22610","66 to 70 years"
"350","22610","More than 71 years"
"351","22610","Male"
"352","22610","Female"
"353","22610","Married"
"354","22610","Unmarried"
"355","22675","Amsterdam"
"356","22675","Nieuwer Amstel"
"357","22675","C"
"358","22675","18 to 22 years"
"359","22675","23 to 35 years"
"360","22675","36 to 50 years"
"361","22675","51 to 60 years"
"362","22675","Male"
"363","22675","Married"
"364","22675","Unmarried"
"365","30000","Alkmaar"
"366","30000","Amsterdam"
"367","30000","Den Helder"
"368","30000","Edam"
"369","30000","Enkhuizen"
"370","30000","Haarlem"
"371","30000","Hilversum"
"372","30000","Hoorn"
"373","30000","Nieuwer Amstel"
"374","30000","Purmerend"
"375","30000","Sloten"
"376","30000","Texel"
"377","30000","Velsen"
"378","30000","Weesp"
"379","30000","Zaandam"
"380","30000","B"
"381","30000","C"
"382","30000","D"
"383","30000","12 to 13 years"
"384","30000","14 to 15 years"
"385","30000","16 to 17 years"
"386","30000","18 to 22 years"
"387","30000","23 to 35 years"
"388","30000","36 to 50 years"
"389","30000","51 to 60 years"
"390","30000","61 to 65 years"
"391","30000","66 to 70 years"
"392","30000","More than 71 years"
"393","30000","Male"
"394","30000","Female"
"395","30000","Married"
"396","30000","Unmarried"
"397","31090","Alkmaar"
"398","31090","Amsterdam"
"399","31090","Den Helder"
"400","31090","Enkhuizen"
"401","31090","Hilversum"
"402","31090","Nieuwer Amstel"
"403","31090","Purmerend"
"404","31090","Texel"
"405","31090","Velsen"
"406","31090","Weesp"
"407","31090","B"
"408","31090","23 to 35 years"
"409","31090","36 to 50 years"
"410","31090","51 to 60 years"
"411","31090","61 to 65 years"
"412","31090","66 to 70 years"
"413","31090","More than 71 years"
"414","31090","Male"
"415","31090","Married"
"416","31090","Unmarried"
"417","33135","Amsterdam"
"418","33135","A"
"419","33135","23 to 35 years"
"420","33135","36 to 50 years"
"421","33135","Male"
"422","33135","Married"
"423","37030","Alkmaar"
"424","37030","Amsterdam"
"425","37030","Den Helder"
"426","37030","Enkhuizen"
"427","37030","Haarlem"
"428","37030","Hilversum"
"429","37030","Hoorn"
"430","37030","Nieuwer Amstel"
"431","37030","Purmerend"
"432","37030","Velsen"
"433","37030","Weesp"
"434","37030","Zaandam"
"435","37030","D"
"436","37030","16 to 17 years"
"437","37030","18 to 22 years"
"438","37030","23 to 35 years"
"439","37030","36 to 50 years"
"440","37030","51 to 60 years"
"441","37030","61 to 65 years"
"442","37030","Male"
"443","37030","Married"
"444","37030","Unmarried"
"445","37040","Alkmaar"
"446","37040","Amsterdam"
"447","37040","Den Helder"
"448","37040","Edam"
"449","37040","Enkhuizen"
"450","37040","Haarlem"
"451","37040","Haarlemmermeer"
"452","37040","Hilversum"
"453","37040","Hoorn"
"454","37040","Nieuwer Amstel"
"455","37040","Purmerend"
"456","37040","Sloten"
"457","37040","Velsen"
"458","37040","Weesp"
"459","37040","Zaandam"
"460","37040","A"
"461","37040","D"
"462","37040","12 to 13 years"
"463","37040","14 to 15 years"
"464","37040","16 to 17 years"
"465","37040","18 to 22 years"
"466","37040","Less than 12 years"
"467","37040","23 to 35 years"
"468","37040","36 to 50 years"
"469","37040","51 to 60 years"
"470","37040","61 to 65 years"
"471","37040","66 to 70 years"
"472","37040","More than 71 years"
"473","37040","Male"
"474","37040","Female"
"475","37040","Married"
"476","37040","Unmarried"
"477","38000","Amsterdam"
"478","38000","Haarlem"
"479","38000","Texel"
"480","38000","Zaandam"
"481","38000","C"
"482","38000","D"
"483","38000","16 to 17 years"
"484","38000","18 to 22 years"
"485","38000","23 to 35 years"
"486","38000","36 to 50 years"
"487","38000","51 to 60 years"
