parent,child
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__loodgieters
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Schoorsteenvegers
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Baggerwerken__baggerlieden
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Schoorsteenvegers__kantoorpersoneel
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__smeden
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__machinisten
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__kraandraaiers
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__hoefsmeden
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__kuipers
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Baggerwerken__machinisten
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Zuiveraars_van_gebouwen
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__timmerlieden
http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d,http://www.data2semantics.org/data/1899_marked/Beroepen/IV/d/Openbare_reiniging__voerlieden
