parent,child
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/8_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/8_0/Naaister
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/8_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/8_0/Parapluiemaker
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XI-XIII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XVII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/IV
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/V
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XX
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/IX
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XVIII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VI
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/I
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/X
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXIV
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXV
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XIV
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XV
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXI
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VIII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/III
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XIX
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXIII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXVI
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XVI
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/XXVIII
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/II
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0/Confectiefabrieksarbeider
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0/Kleermaker__maat_
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0/Huisnaaister
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0/Kleermaker__confectie_
http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0,http://www.data2semantics.org/data/1930_marked/Beroepen_0123D_2429/VII/1_0/Costuumnaaister
