"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
"218" "Aardwerkers" "C" "51 - 60
1848 - 1839" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"220" "Aardwerkers" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 5 "89200"
"225" "Aardwerkers" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 4 "89200"
"230" "Aardwerkers" "D" "66 - 70
1833 - 1829" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 10 "89200"
"235" "Aardwerkers" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 2 "89200"
"240" "Aardwerkers" "D" "51 - 60
1848 - 1839" "MANNEN" "O." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"245" "Aardwerkers" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"250" "Aardwerkers" "D" "18 - 22
1881 - 1877" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 5 "89200"
"255" "Aardwerkers" "D" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"260" "Aardwerkers" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 5 "89200"
"265" "Aardwerkers" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 30 "89200"
"270" "Aardwerkers" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"275" "Aardwerkers" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"280" "Aardwerkers" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 40 "89200"
"285" "Aardwerkers" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 70 "89200"
"290" "Aardwerkers" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 2 "89200"
"295" "Aardwerkers" "D" "66 - 70
1833 - 1829" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"300" "Aardwerkers" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"305" "Aardwerkers" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"310" "Aardwerkers" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 7 "89200"
"315" "Aardwerkers" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"320" "Aardwerkers" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 1 "89200"
"325" "Aardwerkers" "D" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 4 "89200"
"330" "Aardwerkers" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 2 "89200"
"335" "Aardwerkers" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 110 "89200"
"340" "Aardwerkers" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 20 "89200"
"345" "Aardwerkers" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 6 "89200"
"350" "Aardwerkers" "D" "51 - 60
1848 - 1839" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 10 "89200"
"355" "Aardwerkers" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 20 "89200"
"360" "Aardwerkers" "D" "61 - 65
1838 - 1834" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 7 "89200"
"365" "Aardwerkers" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 160 "89200"
"370" "Aardwerkers" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 3 "89200"
"375" "Aardwerkers" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aardwerkers>" 4 "89200"
"380" "Administrateurs" "C" "36 - 50
1863 - 1849" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Administrateurs>" 1 "21940"
"381" "Afslagers" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afslagers>" 1 "44320"
"382" "Afslagers" "C" "23 - 35
