"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
"30676" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 30 "95000"
"30693" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"30710" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"30727" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"30744" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "66 - 70
1833 - 1829" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 2 "95000"
"30761" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"30778" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 6 "95000"
"30795" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 40 "95000"
"30812" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "beneden 12 jaar
1888 en later" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"30829" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"30846" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"30863" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 2 "95000"
"30880" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"30897" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Bloemendaal" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 5 "95000"
"30914" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"30931" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 4 "95000"
"30948" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"30965" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"30982" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "51 - 60
1848 - 1839" "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"30999" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 80 "95000"
"31016" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"31033" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 2 "95000"
"31050" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 4 "95000"
"31067" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "O." "Weesp" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"31084" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 30 "95000"
"31101" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 5 "95000"
"31118" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "66 - 70
1833 - 1829" "MANNEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"31135" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 5 "95000"
"31152" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 50 "95000"
"31169" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"31186" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31203" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"31220" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31237" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31254" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "O." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 2 "95000"
"31271" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "18 - 22
1881 - 1877" "MANNEN" "G." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"31288" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Nieuwer-Amstel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 6 "95000"
"31305" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Enkhuizen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31322" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 3 "95000"
"31339" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "O." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 6 "95000"
"31356" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31373" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31390" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Beverwijk" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 30 "95000"
"31407" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "66 - 70
1833 - 1829" "MANNEN" "G." "Bloemendaal" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"31424" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 30 "95000"
"31441" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"31458" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Sloten" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31475" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "51 - 60
1848 - 1839" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31492" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "16 of 17
1883 - 1882" "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31509" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "66 - 70
1833 - 1829" "MANNEN" "G." "Haarlemmermeer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 1 "95000"
"31526" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "61 - 65
1838 - 1834" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31543" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "14 of 15
1885 - 1884" "MANNEN" "O." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 10 "95000"
"31560" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Hoorn" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 6 "95000"
"31577" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "12 of 13
1887 - 1886 " "MANNEN" "O." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 6 "95000"
"31594" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
1876 - 1864" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Bouwen_van_huizen_en_fabrieken__inclusief_aanleg_van_gas-_en_waterleiding_en_centrale_verwarming__steenhouwen_en_marmerbewerking__architecten__teekenaars_en_opzichters_>" 20 "95000"
"31611" "Bouwen van huizen en fabrieken (inclusief aanleg van gas- en waterleiding en centrale verwarming, steenhouwen en marmerbewerking, architecten, teekenaars en opzichters)" "D" "23 - 35
